,filename,cropfile,testcenter_x,testcenter_y,,,,
93,2.3.22_SPP_Fov9_1_NDTiffStack.tif_1.png,file_93,-5,-5,,,,
94,2.3.22_SPP_Fov9_1_NDTiffStack.tif_1.png,file_94,4,-3,,,,
95,2.3.22_SPP_Fov9_1_NDTiffStack.tif_last.png,file_95,-5,-13,,,,
96,2.3.22_SPP_Fov9_1_NDTiffStack.tif_last.png,file_96,-3,-15,,,,
97,2.3.22_SPP_Fov9_1_NDTiffStack.tif_last.png,file_97,-3,-18,,,,
98,2.3.22_SPP_Fov9_1_NDTiffStack.tif_last.png,file_98,-4,-12,,,,
99,2.3.22_SPP_Fov9_1_NDTiffStack.tif_mid.png,file_99,-9,-9,,,,
100,2.3.22_SPP_Fov9_1_NDTiffStack.tif_mid.png,file_100,-7,-11,,,,
101,2.3.22_SPP_Fov9_1_NDTiffStack.tif_mid.png,file_101,-9,-10,,,,
102,2.3.22_SPP_Fov9_1_NDTiffStack.tif_mid.png,file_102,-7,-11,,,,
